ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	
26	3	4	1	3	2	4	1	4	4	2	1	2	2	4	3	1	4	2	1	3	2	4	2	3	2	
27	3	4	1	3	2	4	1	4	3	2	1	3	2	4	3	1	2	2	1	3	2	4	1	3	2	
28	3	4	1	3	2	4	1	4	2	2	1	3	2	4	3	1	4	2	1	3	2	4	1	3	2	
29	3	4	4	3	2	4	1	4	2	2	1	2	2	4	3	2	4	2	1	3	4	2	2	3	1	
30	3	4	1	3	2	2	1	4	2	2	1	2	2	4	3	1	1	2	1	3	4	4	1	3	2	
31	3	4	1	3	2	4	1	4	2	2	1	2	2	4	3	1	4	2	1	3	2	4	1	3	2	
32	3	4	1	3	2	2	1	4	2	2	1	2	2	4	4	1	1	2	1	3	2	4	1	3	2	
33	3	4	1	3	2	3	1	4	3	2	1	3	2	4	3	1	4	2	1	3	4	4	1	1	2	
34	3	4	1	3	2	4	1	4	1	2	1	3	2	4	3	1	4	2	1	3	2	4	1	3	2	
35	3	4	1	3	2	4	1	4	3	2	1	3	2	4	3	1	4	2	1	3	2	4	1	3	2	
36	3	4	1	3	2	4	1	4	2	2	1	2	2	4	3	1	4	2	1	3	2	4	1	3	2	
37	3	4	1	3	2	2	1	2	2	2	1	3	2	4	2	1	4	2	1	3	2	1	1	3	4	
38	3	4	1	3	2	2	1	2	2	2	1	3	2	4	2	1	4	2	1	3	2	1	1	3	4	
39	3	4	1	3	2	4	2	4	2	2	1	3	3	4	3	1	4	2	1	3	2	4	1	3	2	
40	3	4	1	3	2	4	1	4	1	2	1	3	2	4	3	1	1	2	1	1	2	1	1	3	4	
41	3	4	1	3	2	2	1	4	3	2	1	3	2	4	3	2	4	4	1	3	2	4	1	3	2	
42	3	4	1	3	2	4	1	4	3	2	1	4	2	4	3	1	4	2	1	3	2	4	1	3	2	
43	3	4	1	3	2	4	1	4	3	2	1	3	2	4	3	1	2	2	1	3	2	1	1	3	2	
